x-axis,FFT
Hertz,decibel
+0.0E+00,-112.135010E+00
+1.901E+00,-117.374249E+00
+3.802E+00,-111.128681E+00
+5.703E+00,-114.056420E+00
+7.605E+00,-109.700182E+00
+9.506E+00,-110.624619E+00
+11.407E+00,-112.936455E+00
+13.308E+00,-111.648525E+00
+15.209E+00,-122.393788E+00
+17.110E+00,-112.306503E+00
+19.011E+00,-106.374342E+00
+20.913E+00,-109.292581E+00
+22.814E+00,-116.795677E+00
+24.715E+00,-110.273354E+00
+26.616E+00,-118.691382E+00
+28.517E+00,-126.143973E+00
+30.418E+00,-112.827806E+00
+32.319E+00,-112.108705E+00
+34.221E+00,-113.682684E+00
+36.122E+00,-125.209758E+00
+38.023E+00,-122.247253E+00
+39.924E+00,-113.684192E+00
+41.825E+00,-116.885090E+00
+43.726E+00,-116.874038E+00
+45.627E+00,-103.061589E+00
+47.529E+00,-72.943869E+00
+49.430E+00,-63.447271E+00
+51.331E+00,-65.939588E+00
+53.232E+00,-84.301191E+00
+55.133E+00,-96.996652E+00
+57.034E+00,-107.297874E+00
+58.935E+00,-108.713444E+00
+60.837E+00,-112.909969E+00
+62.738E+00,-115.135680E+00
+64.639E+00,-125.092139E+00
+66.540E+00,-119.479751E+00
+68.441E+00,-124.352753E+00
+70.342E+00,-118.351664E+00
+72.243E+00,-121.043350E+00
+74.144E+00,-121.965336E+00
+76.046E+00,-122.515689E+00
+77.947E+00,-123.699808E+00
+79.848E+00,-119.455287E+00
+81.749E+00,-118.735106E+00
+83.650E+00,-117.390862E+00
+85.551E+00,-116.816665E+00
+87.452E+00,-135.456139E+00
+89.354E+00,-117.610337E+00
+91.255E+00,-114.289182E+00
+93.156E+00,-115.497415E+00
+95.057E+00,-118.170322E+00
+96.958E+00,-117.767028E+00
+98.859E+00,-112.316191E+00
+100.760E+00,-109.811112E+00
+102.662E+00,-114.795261E+00
+104.563E+00,-117.098194E+00
+106.464E+00,-125.038959E+00
+108.365E+00,-119.032452E+00
+110.266E+00,-117.064234E+00
+112.167E+00,-114.060453E+00
+114.068E+00,-122.470135E+00
+115.970E+00,-121.157398E+00
+117.871E+00,-119.785546E+00
+119.772E+00,-133.757375E+00
+121.673E+00,-124.611854E+00
+123.574E+00,-115.119882E+00
+125.475E+00,-113.854900E+00
+127.376E+00,-115.980385E+00
+129.278E+00,-117.633501E+00
+131.179E+00,-113.066437E+00
+133.080E+00,-112.924660E+00
+134.981E+00,-121.418571E+00
+136.882E+00,-123.785741E+00
+138.783E+00,-122.024940E+00
+140.684E+00,-121.483154E+00
+142.586E+00,-120.043709E+00
+144.487E+00,-114.852815E+00
+146.388E+00,-112.445160E+00
+148.289E+00,-100.761643E+00
+150.190E+00,-96.018430E+00
+152.091E+00,-101.311285E+00
+153.992E+00,-109.584795E+00
+155.894E+00,-117.841518E+00
+157.795E+00,-114.008247E+00
+159.696E+00,-108.937400E+00
+161.597E+00,-111.081518E+00
+163.498E+00,-119.381609E+00
+165.399E+00,-124.077976E+00
+167.300E+00,-125.366571E+00
+169.202E+00,-118.776900E+00
+171.103E+00,-117.874168E+00
+173.004E+00,-115.007595E+00
+174.905E+00,-110.591678E+00
+176.806E+00,-114.485094E+00
+178.707E+00,-124.731807E+00
+180.608E+00,-122.225022E+00
+182.510E+00,-118.679298E+00
+184.411E+00,-115.705976E+00
+186.312E+00,-114.149696E+00
+188.213E+00,-121.536233E+00
+190.114E+00,-115.254028E+00
+192.015E+00,-108.752329E+00
+193.916E+00,-114.704081E+00
+195.817E+00,-118.506684E+00
+197.719E+00,-115.755950E+00
+199.620E+00,-115.099278E+00
+201.521E+00,-114.698125E+00
+203.422E+00,-118.695835E+00
+205.323E+00,-115.199979E+00
+207.224E+00,-108.626259E+00
+209.125E+00,-109.313083E+00
+211.027E+00,-115.640337E+00
+212.928E+00,-116.926481E+00
+214.829E+00,-118.838930E+00
+216.730E+00,-118.473290E+00
+218.631E+00,-115.808250E+00
+220.532E+00,-116.425980E+00
+222.433E+00,-110.915694E+00
+224.335E+00,-108.199263E+00
+226.236E+00,-117.775294E+00
+228.137E+00,-117.766033E+00
+230.038E+00,-116.260562E+00
