x-axis,FFT
Hertz,decibel
+0.0E+00,-99.976807E+00
+1.901E+00,-102.086617E+00
+3.802E+00,-108.938306E+00
+5.703E+00,-131.130492E+00
+7.605E+00,-107.568322E+00
+9.506E+00,-113.455765E+00
+11.407E+00,-108.012079E+00
+13.308E+00,-106.878110E+00
+15.209E+00,-106.293079E+00
+17.110E+00,-111.780962E+00
+19.011E+00,-114.564056E+00
+20.913E+00,-118.018317E+00
+22.814E+00,-119.907542E+00
+24.715E+00,-122.174730E+00
+26.616E+00,-115.493294E+00
+28.517E+00,-115.750231E+00
+30.418E+00,-122.077151E+00
+32.319E+00,-121.779632E+00
+34.221E+00,-117.556602E+00
+36.122E+00,-121.576954E+00
+38.023E+00,-125.442629E+00
+39.924E+00,-118.954961E+00
+41.825E+00,-115.579857E+00
+43.726E+00,-112.507257E+00
+45.627E+00,-102.627869E+00
+47.529E+00,-72.795821E+00
+49.430E+00,-63.208540E+00
+51.331E+00,-65.617293E+00
+53.232E+00,-83.951631E+00
+55.133E+00,-95.599302E+00
+57.034E+00,-109.441932E+00
+58.935E+00,-110.427159E+00
+60.837E+00,-112.689501E+00
+62.738E+00,-117.943733E+00
+64.639E+00,-119.746566E+00
+66.540E+00,-123.188768E+00
+68.441E+00,-113.863440E+00
+70.342E+00,-115.000434E+00
+72.243E+00,-118.001148E+00
+74.144E+00,-116.295205E+00
+76.046E+00,-116.616758E+00
+77.947E+00,-122.517563E+00
+79.848E+00,-129.420824E+00
+81.749E+00,-126.145577E+00
+83.650E+00,-125.618830E+00
+85.551E+00,-119.162962E+00
+87.452E+00,-116.429273E+00
+89.354E+00,-118.714243E+00
+91.255E+00,-119.872683E+00
+93.156E+00,-119.576448E+00
+95.057E+00,-117.478325E+00
+96.958E+00,-119.889962E+00
+98.859E+00,-111.755111E+00
+100.760E+00,-108.883090E+00
+102.662E+00,-120.952821E+00
+104.563E+00,-119.801217E+00
+106.464E+00,-121.709375E+00
+108.365E+00,-126.100193E+00
+110.266E+00,-117.298673E+00
+112.167E+00,-114.168305E+00
+114.068E+00,-118.783886E+00
+115.970E+00,-127.785506E+00
+117.871E+00,-121.747186E+00
+119.772E+00,-123.188725E+00
+121.673E+00,-120.953457E+00
+123.574E+00,-117.832279E+00
+125.475E+00,-117.648809E+00
+127.376E+00,-115.109988E+00
+129.278E+00,-117.463833E+00
+131.179E+00,-122.137319E+00
+133.080E+00,-120.012436E+00
+134.981E+00,-119.539972E+00
+136.882E+00,-128.561057E+00
+138.783E+00,-119.157059E+00
+140.684E+00,-125.334193E+00
+142.586E+00,-114.527963E+00
+144.487E+00,-111.089571E+00
+146.388E+00,-109.626736E+00
+148.289E+00,-100.359867E+00
+150.190E+00,-96.941779E+00
+152.091E+00,-106.231469E+00
+153.992E+00,-110.641581E+00
+155.894E+00,-113.443520E+00
+157.795E+00,-113.463647E+00
+159.696E+00,-108.831560E+00
+161.597E+00,-111.052794E+00
+163.498E+00,-116.477015E+00
+165.399E+00,-114.161970E+00
+167.300E+00,-113.453962E+00
+169.202E+00,-118.273821E+00
+171.103E+00,-126.550295E+00
+173.004E+00,-121.358728E+00
+174.905E+00,-113.882394E+00
+176.806E+00,-113.149516E+00
+178.707E+00,-115.360203E+00
+180.608E+00,-117.619857E+00
+182.510E+00,-121.720952E+00
+184.411E+00,-115.766318E+00
+186.312E+00,-112.235402E+00
+188.213E+00,-116.453515E+00
+190.114E+00,-117.926166E+00
+192.015E+00,-114.789462E+00
+193.916E+00,-116.562817E+00
+195.817E+00,-119.464392E+00
+197.719E+00,-122.651637E+00
+199.620E+00,-119.792227E+00
+201.521E+00,-115.496729E+00
+203.422E+00,-120.760609E+00
+205.323E+00,-116.313758E+00
+207.224E+00,-108.501336E+00
+209.125E+00,-109.342049E+00
+211.027E+00,-117.396039E+00
+212.928E+00,-123.439598E+00
+214.829E+00,-120.702165E+00
+216.730E+00,-114.962396E+00
+218.631E+00,-114.188979E+00
+220.532E+00,-115.239133E+00
+222.433E+00,-110.458680E+00
+224.335E+00,-110.336087E+00
+226.236E+00,-120.331833E+00
+228.137E+00,-122.654584E+00
+230.038E+00,-120.864300E+00
+231.939E+00,-117.224715E+00
+233.840E+00,-111.811491E+00
+235.741E+00,-111.630377E+00
+237.643E+00,-109.606688E+00
+239.544E+00,-107.406391E+00
+241.445E+00,-114.150500E+00
+243.346E+00,-126.019797E+00
+245.247E+00,-125.185662E+00
+247.148E+00,-109.424736E+00
+249.049E+00,-98.751625E+00
+250.951E+00,-101.881267E+00
+252.852E+00,-105.263236E+00
+254.753E+00,-104.502542E+00
+256.654E+00,-109.323049E+00
+258.555E+00,-115.463442E+00
+260.456E+00,-117.224101E+00
+262.357E+00,-123.029937E+00
+264.259E+00,-121.031853E+00
+266.160E+00,-114.821628E+00
+268.061E+00,-110.647881E+00
+269.962E+00,-105.328839E+00
+271.863E+00,-106.015851E+00
+273.764E+00,-116.708034E+00
+275.665E+00,-121.982579E+00
+277.567E+00,-118.466667E+00
+279.468E+00,-114.231685E+00
+281.369E+00,-111.553656E+00
+283.270E+00,-112.537603E+00
+285.171E+00,-110.331386E+00
+287.072E+00,-109.558267E+00
+288.973E+00,-115.174219E+00
+290.875E+00,-117.339231E+00
+292.776E+00,-115.581428E+00
+294.677E+00,-114.111442E+00
+296.578E+00,-114.016659E+00
+298.479E+00,-112.003389E+00
+300.380E+00,-105.794023E+00
+302.281E+00,-103.099429E+00
+304.183E+00,-108.217810E+00
+306.084E+00,-113.036966E+00
+307.985E+00,-116.259672E+00
+309.886E+00,-117.780295E+00
+311.787E+00,-114.897668E+00
+313.688E+00,-114.273683E+00
+315.589E+00,-110.573789E+00
+317.490E+00,-105.395886E+00
+319.392E+00,-109.348170E+00
+321.293E+00,-115.049032E+00
+323.194E+00,-119.832507E+00
+325.095E+00,-120.364953E+00
+326.996E+00,-113.235765E+00
+328.897E+00,-115.791947E+00
+330.798E+00,-115.958257E+00
+332.700E+00,-107.695146E+00
+334.601E+00,-108.228957E+00
+336.502E+00,-114.960037E+00
+338.403E+00,-117.337858E+00
+340.304E+00,-117.550565E+00
+342.205E+00,-117.372648E+00
+344.106E+00,-114.821497E+00
+346.008E+00,-110.668386E+00
+347.909E+00,-99.399281E+00
+349.810E+00,-93.981259E+00
+351.711E+00,-99.203195E+00
+353.612E+00,-106.557410E+00
+355.513E+00,-109.326795E+00
+357.414E+00,-113.423003E+00
+359.316E+00,-113.692559E+00
+361.217E+00,-110.057766E+00
+363.118E+00,-106.609432E+00
+365.019E+00,-102.825431E+00
+366.920E+00,-107.206205E+00
+368.821E+00,-111.403476E+00
+370.722E+00,-110.089366E+00
+372.624E+00,-117.140687E+00
+374.525E+00,-122.597105E+00
+376.426E+00,-118.040697E+00
+378.327E+00,-111.944437E+00
+380.228E+00,-107.297052E+00
+382.129E+00,-109.077504E+00
+384.030E+00,-114.153528E+00
+385.932E+00,-114.604534E+00
+387.833E+00,-118.168406E+00
+389.734E+00,-117.898764E+00
+391.635E+00,-112.834195E+00
+393.536E+00,-115.369718E+00
+395.437E+00,-110.135187E+00
+397.338E+00,-111.575875E+00
+399.240E+00,-116.731515E+00
+401.141E+00,-110.757532E+00
+403.042E+00,-112.202366E+00
+404.943E+00,-113.600056E+00
+406.844E+00,-105.315639E+00
+408.745E+00,-106.449951E+00
+410.646E+00,-112.996228E+00
+412.548E+00,-109.855148E+00
+414.449E+00,-113.018938E+00
+416.350E+00,-114.795286E+00
+418.251E+00,-113.733122E+00
+420.152E+00,-115.800253E+00
+422.053E+00,-112.364508E+00
+423.954E+00,-111.815825E+00
+425.856E+00,-116.880661E+00
+427.757E+00,-113.021593E+00
+429.658E+00,-113.969112E+00
+431.559E+00,-117.977727E+00
+433.460E+00,-115.510252E+00
+435.361E+00,-117.832915E+00
+437.262E+00,-115.428904E+00
+439.163E+00,-111.156957E+00
+441.065E+00,-113.984398E+00
+442.966E+00,-115.068557E+00
+444.867E+00,-109.085300E+00
+446.768E+00,-98.096810E+00
+448.669E+00,-85.971424E+00
+450.570E+00,-87.116730E+00
+452.471E+00,-96.853847E+00
+454.373E+00,-103.036278E+00
+456.274E+00,-108.838653E+00
+458.175E+00,-117.667512E+00
+460.076E+00,-115.266446E+00
+461.977E+00,-119.052568E+00
+463.878E+00,-116.596327E+00
+465.779E+00,-115.557081E+00
+467.681E+00,-115.490120E+00
+469.582E+00,-107.987448E+00
+471.483E+00,-108.394652E+00
+473.384E+00,-115.037097E+00
+475.285E+00,-111.900533E+00
+477.186E+00,-115.209498E+00
+479.087E+00,-121.000346E+00
+480.989E+00,-118.899194E+00
+482.890E+00,-113.796715E+00
+484.791E+00,-108.906698E+00
+486.692E+00,-113.795238E+00
+488.593E+00,-130.697463E+00
+490.494E+00,-110.436624E+00
+492.395E+00,-112.342929E+00
+494.297E+00,-120.310345E+00
+496.198E+00,-112.084658E+00
+498.099E+00,-109.243643E+00
+500.000E+00,-105.700420E+00
+501.901E+00,-102.783817E+00
+503.802E+00,-109.016695E+00
+505.703E+00,-116.924395E+00
+507.605E+00,-115.692158E+00
+509.506E+00,-118.843325E+00
+511.407E+00,-117.669044E+00
+513.308E+00,-113.590529E+00
+515.209E+00,-112.595331E+00
+517.110E+00,-109.112664E+00
+519.011E+00,-111.697758E+00
